,lemat,liczba_wystapien,czestosc_wystapien,liczba_dzieci,czestosc_dzieci
2020,obrazek,9,0.002284843869002285,9,0.010625737898465172
567,dawać,9,0.002284843869002285,9,0.010625737898465172
3933,żyć,9,0.002284843869002285,6,0.0070838252656434475
1262,kino,9,0.002284843869002285,6,0.0070838252656434475
3147,tańczyć,9,0.002284843869002285,9,0.010625737898465172
2301,piotruś,9,0.002284843869002285,5,0.0059031877213695395
3517,wyjść,9,0.002284843869002285,8,0.009445100354191263
2866,sikać,9,0.002284843869002285,9,0.010625737898465172
2800,różowy,9,0.002284843869002285,9,0.010625737898465172
569,dawno,9,0.002284843869002285,4,0.004722550177095631
328,bujać,9,0.002284843869002285,6,0.0070838252656434475
175,bajke,9,0.002284843869002285,8,0.009445100354191263
1903,nazywać,9,0.002284843869002285,9,0.010625737898465172
2894,skakać,9,0.002284843869002285,8,0.009445100354191263
978,herbatka,9,0.002284843869002285,9,0.010625737898465172
3761,znać,8,0.002030972328002031,5,0.0059031877213695395
1953,nikola,8,0.002030972328002031,6,0.0070838252656434475
3741,zjeżdżalnia,8,0.002030972328002031,8,0.009445100354191263
3620,zajęty,8,0.002030972328002031,6,0.0070838252656434475
2384,podawać,8,0.002030972328002031,7,0.008264462809917356
3885,śniadanie,8,0.002030972328002031,8,0.009445100354191263
3168,tez,8,0.002030972328002031,5,0.0059031877213695395
3280,ubierzyć,8,0.002030972328002031,7,0.008264462809917356
1043,jabłuszko,8,0.002030972328002031,7,0.008264462809917356
3057,szczekać,8,0.002030972328002031,8,0.009445100354191263
453,ciasto,8,0.002030972328002031,8,0.009445100354191263
1388,kościół,8,0.002030972328002031,5,0.0059031877213695395
3340,usiąść,8,0.002030972328002031,8,0.009445100354191263
3408,wiewiórka,8,0.002030972328002031,3,0.0035419126328217238
2083,oko,8,0.002030972328002031,8,0.009445100354191263
51,adaś,8,0.002030972328002031,6,0.0070838252656434475
